,act,emp,des
30/4/2000,59.34219604,51.50808108,13.20159259
31/5/2000,57.8963078,48.80980119,15.69444919
30/6/2000,58.07995374,49.88312655,14.11300572
31/7/2000,59.15226247,51.99257072,12.10383416
31/8/2000,60.49839714,51.06864871,15.58677399
30/9/2000,59.63508951,51.4053621,13.80014262
31/10/2000,57.9195557,49.54310108,14.46222182
30/11/2000,61.15591764,52.06830752,14.8597396
31/12/2000,59.37567552,51.52092702,13.2288996
31/1/2001,61.05720816,51.76921434,15.21195302
28/2/2001,61.95969316,53.16457289,14.19490611
31/3/2001,61.75752481,52.29804659,15.31712653
30/4/2001,60.34401671,51.04048436,15.41748935
31/5/2001,61.450913,51.52851997,16.14686022
30/6/2001,60.9670814,51.07005137,16.23339973
31/7/2001,60.09593029,50.84384295,15.39553061
31/8/2001,59.14684902,50.42739399,14.74204489
30/9/2001,58.7464888,49.35115818,15.99300793
31/10/2001,60.68933943,51.68061777,14.8439936
30/11/2001,60.85226819,51.21706729,15.83375802
31/12/2001,60.26250726,51.82818698,13.99596641
31/1/2002,60.39901655,51.21321344,15.20853093
28/2/2002,60.69575369,52.2091363,13.9822259
31/3/2002,59.92734021,50.8261165,15.18709771
30/4/2002,59.66039097,50.27124577,15.73765281
31/5/2002,60.22294044,50.58558537,16.00279726
30/6/2002,58.36666772,49.55513645,15.09685513
31/7/2002,60.33874328,49.00895439,18.77697193
31/8/2002,57.69708344,47.46913227,17.72698126
30/9/2002,56.86644399,45.26873414,20.39464583
31/10/2002,58.51627079,47.08348659,19.53778675
30/11/2002,58.57269177,47.25491098,19.32262364
31/12/2002,58.24579824,48.32828247,17.02700636
31/1/2003,58.71112783,48.2745653,17.77612339
28/2/2003,59.0183564,48.05267277,18.58012372
31/3/2003,57.82709106,46.6331291,19.3576432
30/4/2003,57.76578416,46.95888946,18.70812431
31/5/2003,58.04641173,48.29531558,16.79879231
30/6/2003,56.86615272,47.27325486,16.86925774
31/7/2003,58.01041951,48.38714831,16.58886677
31/8/2003,56.77326541,48.44081377,14.67671724
30/9/2003,57.78707398,48.11898661,16.73053626
31/10/2003,59.00711659,49.15558528,16.69549687
30/11/2003,58.65565992,49.89769101,14.93115741
31/12/2003,59.05142602,50.40430575,14.64337249
31/1/2004,58.5378197,50.85408626,13.12610118
29/2/2004,58.76457813,50.0212269,14.87860801
31/3/2004,59.04598323,51.01790755,13.59631129
30/4/2004,57.6254687,49.54273837,14.026316
31/5/2004,59.43526024,52.21755204,12.14381525
30/6/2004,57.96065527,50.37179901,13.09311675
31/7/2004,58.22261409,49.66388182,14.70001374
31/8/2004,58.45203022,50.79683292,13.09654646
30/9/2004,58.84680345,51.81231421,11.95390205
